From	Entry	Gene.Names..primary.	ENTREZID
O60641	O60641	SNAP91	9892
O60645	O60645	EXOC3	11336
O60658	O60658	PDE8A	5151
O60664	O60664	PLIN3	10226
O60669	O60669	SLC16A7	9194
O60684	O60684	KPNA6	23633
O60701	O60701	UGDH	7358
O60704	O60704	TPST2	8459
O60716	O60716	CTNND1	1500
O60725	O60725	ICMT	23463
O60733	O60733	PLA2G6	8398
O60739	O60739	EIF1B	10289
O60749	O60749	SNX2	6643
O60762	O60762	DPM1	8813
O60763	O60763	USO1	8615
O60784	O60784	TOM1	10043
O60825	O60825	PFKFB2	5208
O60826	O60826	CCDC22	28952
O60828	O60828	PQBP1	10084
O60831	O60831	PRAF2	11230
O60832	O60832	DKC1	1736
O60841	O60841	EIF5B	9669
O60869	O60869	EDF1	8721
O60879	O60879	DIAPH2	1730
O60884	O60884	DNAJA2	10294
O60885	O60885	BRD4	23476
O60888	O60888	CUTA	51596
O60906	O60906	SMPD2	6610
O60911	O60911	CTSV	1515
O60925	O60925	PFDN1	5201
O60934	O60934	NBN	4683
O60936	O60936	NOL3	8996
O60941	O60941	DTNB	1838
O60942	O60942	RNGTT	8732
O75027	O75027	ABCB7	22
O75038	O75038	PLCH2	9651
O75044	O75044	SRGAP2	23380
O75051	O75051	PLXNA2	5362
O75063	O75063	FAM20B	9917
O75083	O75083	WDR1	9948
O75093	O75093	SLIT1	6585
O75110	O75110	ATP9A	10079
O75113	O75113	N4BP1	9683
O75116	O75116	ROCK2	9475
O75122	O75122	CLASP2	23122
O75127	O75127	PTCD1	26024
O75128	O75128	COBL	23242
O75131	O75131	CPNE3	8895
O75143	O75143	ATG13	9776
O75145	O75145	PPFIA3	8541
O75146	O75146	HIP1R	9026
O75150	O75150	RNF40	9810
O75151	O75151	PHF2	5253
O75152	O75152	ZC3H11A	9877
O75153	O75153	CLUH	23277
O75155	O75155	CAND2	23066
O75165	O75165	DNAJC13	23317
O75167	O75167	PHACTR2	9749
O75170	O75170	PPP6R2	9701
O75175	O75175	CNOT3	4849
O75179	O75179	ANKRD17	26057
O75182	O75182	SIN3B	23309
O75190	O75190	DNAJB6	10049
O75208	O75208	COQ9	57017
O75223	O75223	GGCT	79017
O75251	O75251	NDUFS7	374291
O75306	O75306	NDUFS2	4720
O75323	O75323	NIPSNAP2	2631
O75340	O75340	PDCD6	10016
O75342	O75342	ALOX12B	242
O75347	O75347	TBCA	6902
O75348	O75348	ATP6V1G1	9550
O75351	O75351	VPS4B	9525
O75352	O75352	MPDU1	9526
O75355	O75355	ENTPD3	956
O75367	O75367	MACROH2A1	9555
O75368	O75368	SH3BGRL	6451
O75369	O75369	FLNB	2317
O75376	O75376	NCOR1	9611
O75379	O75379	VAMP4	8674
O75380	O75380	NDUFS6	4726
O75381	O75381	PEX14	5195
O75382	O75382	TRIM3	10612
O75387	O75387	SLC43A1	8501
O75390	O75390	CS	1431
O75391	O75391	SPAG7	9552
O75396	O75396	SEC22B	9554
O75400	O75400	PRPF40A	55660
O75410	O75410	TACC1	6867
O75420	O75420	GIGYF1	64599
O75427	O75427	LRCH4	4034
O75431	O75431	MTX2	10651
O75436	O75436	VPS26A	9559
O75438	O75438	NDUFB1	4707
O75439	O75439	PMPCB	9512
O75460	O75460	ERN1	2081
O75475	O75475	PSIP1	11168
O75477	O75477	ERLIN1	10613
O75489	O75489	NDUFS3	4722
O75494	O75494	SRSF10	10772
O75506	O75506	HSBP1	3281
O75521	O75521	ECI2	10455
O75525	O75525	KHDRBS3	10656
O75531	O75531	BANF1	8815
O75533	O75533	SF3B1	23451
O75534	O75534	CSDE1	7812
O75556	O75556	SCGB2A1	4246
O75569	O75569	PRKRA	8575
O75586	O75586	MED6	10001
O75592	O75592	MYCBP2	23077
O75600	O75600	GCAT	23464
O75608	O75608	LYPLA1	10434
O75629	O75629	CREG1	8804
O75635	O75635	SERPINB7	8710
O75643	O75643	SNRNP200	23020
O75648	O75648	TRMU	55687
O75663	O75663	TIPRL	261726
O75674	O75674	TOM1L1	10040
O75688	O75688	PPM1B	5495
O75691	O75691	UTP20	27340
O75694	O75694	NUP155	9631
O75746	O75746	SLC25A12	8604
O75781	O75781	PALM	5064
O75787	O75787	ATP6AP2	10159
O75792	O75792	RNASEH2A	10535
O75815	O75815	BCAR3	8412
O75820	O75820	ZNF189	7743
O75821	O75821	EIF3G	8666
O75822	O75822	EIF3J	8669
O75830	O75830	SERPINI2	5276
O75832	O75832	PSMD10	5716
O75843	O75843	AP1G2	8906
O75844	O75844	ZMPSTE24	10269
O75874	O75874	IDH1	3417
O75879	O75879	GATB	5188
O75880	O75880	SCO1	6341
O75884	O75884	RBBP9	10741
O75886	O75886	STAM2	10254
O75891	O75891	ALDH1L1	10840
O75907	O75907	DGAT1	8694
O75909	O75909	CCNK	8812
O75911	O75911	DHRS3	9249
O75914	O75914	PAK3	5063
O75915	O75915	ARL6IP5	10550
O75923	O75923	DYSF	8291
O75934	O75934	BCAS2	10286
O75935	O75935	DCTN3	11258
O75937	O75937	DNAJC8	22826
O75947	O75947	ATP5PD	10476
O75954	O75954	TSPAN9	10867
O75955	O75955	FLOT1	10211
O75962	O75962	TRIO	7204
O75964	O75964	ATP5MG	10632
O75970	O75970	MPDZ	8777
O75973	O75973	C1QL1	10882
O75976	O75976	CPD	1362
